recognizer_age_numeric,distinct_index,ci_lower,ci_upper,mean,recognizer_age_name
3,1,0.2098360655737705,0.30491803278688523,0.25245901639344265,3-year-olds
3,2,0.23529411764705882,0.3333333333333333,0.28431372549019607,3-year-olds
3,3,0.24745762711864408,0.3559322033898305,0.3016949152542373,3-year-olds
3,4,0.3183098591549296,0.4140845070422535,0.36619718309859156,3-year-olds
3,5,0.2990936555891239,0.3987915407854985,0.3504531722054381,3-year-olds
3,6,0.37317784256559766,0.478134110787172,0.42565597667638483,3-year-olds
3,7,0.3622291021671827,0.4674922600619195,0.4117647058823529,3-year-olds
3,8,0.34710743801652894,0.4491046831955922,0.39944903581267216,3-year-olds
3,9,0.39759036144578314,0.5060240963855421,0.45180722891566266,3-year-olds
3,10,0.5592783505154639,0.6520618556701031,0.6082474226804123,3-year-olds
4,1,0.2413127413127413,0.3166023166023166,0.277992277992278,4-year-olds
4,2,0.2541743970315399,0.32838589981447125,0.2894248608534323,4-year-olds
4,3,0.31287128712871287,0.39603960396039606,0.3564356435643564,4-year-olds
4,4,0.3463587921847247,0.4227797513321492,0.3836589698046181,4-year-olds
4,5,0.37595419847328243,0.45610687022900764,0.41412213740458015,4-year-olds
4,6,0.41541353383458646,0.5,0.4567669172932331,4-year-olds
4,7,0.44685466377440347,0.5357917570498916,0.49023861171366595,4-year-olds
4,8,0.4505703422053232,0.5342205323193916,0.4923954372623574,4-year-olds
4,9,0.5190839694656488,0.6068702290076335,0.5629770992366412,4-year-olds
4,10,0.6214926590538337,0.6982055464926591,0.6606851549755302,4-year-olds
5,1,0.23501926782273608,0.30828516377649323,0.27167630057803466,5-year-olds
5,2,0.27325581395348836,0.3546511627906977,0.313953488372093,5-year-olds
5,3,0.3815789473684211,0.4649671052631579,0.42105263157894735,5-year-olds
5,4,0.43878640776699035,0.5242718446601942,0.4815533980582524,5-year-olds
5,5,0.39728682170542634,0.4845445736434108,0.4437984496124031,5-year-olds
5,6,0.43042671614100186,0.5102040816326531,0.4712430426716141,5-year-olds
5,7,0.43646408839779005,0.5193370165745856,0.47882136279926335,5-year-olds
5,8,0.5134684684684684,0.5946396396396396,0.5531531531531532,5-year-olds
5,9,0.5939716312056738,0.6737588652482269,0.6347517730496454,5-year-olds
5,10,0.6917808219178082,0.7688356164383562,0.7294520547945206,5-year-olds
6,1,0.24064171122994651,0.33689839572192515,0.2887700534759358,6-year-olds
6,2,0.30412371134020616,0.40463917525773196,0.3556701030927835,6-year-olds
6,3,0.4035608308605341,0.5074183976261127,0.456973293768546,6-year-olds
6,4,0.4387755102040816,0.5357142857142857,0.4872448979591837,6-year-olds
6,5,0.5089820359281437,0.6107784431137725,0.562874251497006,6-year-olds
6,6,0.5219638242894057,0.6253229974160207,0.5710594315245479,6-year-olds
6,7,0.5352904040404042,0.6313762626262625,0.5833333333333334,6-year-olds
6,8,0.569377990430622,0.6626794258373205,0.6172248803827751,6-year-olds
6,9,0.6081424936386769,0.7048346055979644,0.6564885496183206,6-year-olds
6,10,0.7063291139240506,0.795,0.7518987341772152,6-year-olds
7,1,0.310126582278481,0.41455696202531644,0.36075949367088606,7-year-olds
7,2,0.37894736842105264,0.49473684210526314,0.43859649122807015,7-year-olds
7,3,0.4133738601823708,0.5197568389057751,0.46808510638297873,7-year-olds
7,4,0.5352112676056338,0.6422535211267606,0.5887323943661972,7-year-olds
7,5,0.5073008849557523,0.6135693215339233,0.56047197640118,7-year-olds
7,6,0.5128886010362695,0.6088082901554405,0.5595854922279793,7-year-olds
7,7,0.5921089385474861,0.6927374301675978,0.6424581005586593,7-year-olds
7,8,0.6291208791208791,0.7252747252747253,0.6785714285714286,7-year-olds
7,9,0.6572164948453608,0.7474226804123711,0.7010309278350515,7-year-olds
7,10,0.7747524752475248,0.849009900990099,0.8143564356435643,7-year-olds
8,1,0.29411764705882354,0.42081447963800905,0.3574660633484163,8-year-olds
8,2,0.3907563025210084,0.5126050420168067,0.4495798319327731,8-year-olds
8,3,0.4083333333333333,0.5375,0.475,8-year-olds
8,4,0.46144230769230776,0.5807692307692308,0.5230769230769231,8-year-olds
8,5,0.5689655172413793,0.6897629310344827,0.6293103448275862,8-year-olds
8,6,0.5288888888888889,0.6577777777777778,0.5955555555555555,8-year-olds
8,7,0.5824175824175825,0.6959706959706959,0.6410256410256411,8-year-olds
8,8,0.6848739495798319,0.7941176470588235,0.7394957983193278,8-year-olds
8,9,0.6614785992217899,0.77431906614786,0.7198443579766537,8-year-olds
8,10,0.7311827956989247,0.8279569892473119,0.7813620071684588,8-year-olds
9,1,0.2857142857142857,0.4523809523809524,0.373015873015873,9-year-olds
9,2,0.30864197530864196,0.4567901234567901,0.38271604938271603,9-year-olds
9,3,0.3217391304347826,0.5043478260869565,0.41739130434782606,9-year-olds
9,4,0.47586206896551725,0.634655172413793,0.5586206896551724,9-year-olds
9,5,0.47619047619047616,0.6507936507936508,0.5634920634920635,9-year-olds
9,6,0.5374149659863946,0.7006802721088435,0.6190476190476191,9-year-olds
9,7,0.5897482014388491,0.741187050359712,0.6690647482014388,9-year-olds
9,8,0.5732484076433121,0.7133757961783439,0.643312101910828,9-year-olds
9,9,0.6390532544378699,0.7751479289940828,0.7100591715976331,9-year-olds
9,10,0.7735849056603774,0.8930817610062893,0.8364779874213837,9-year-olds
10,1,0.3153273809523811,0.4642857142857143,0.3869047619047619,10-year-olds
10,2,0.3805309734513274,0.5088495575221239,0.4424778761061947,10-year-olds
10,3,0.47465437788018433,0.6082949308755761,0.543778801843318,10-year-olds
10,4,0.5330396475770925,0.6564977973568281,0.5947136563876652,10-year-olds
10,5,0.43125000000000013,0.5686274509803921,0.5,10-year-olds
10,6,0.5604395604395604,0.6978021978021978,0.6263736263736264,10-year-olds
10,7,0.6068376068376068,0.717948717948718,0.6623931623931624,10-year-olds
10,8,0.6630434782608695,0.7880434782608695,0.7282608695652174,10-year-olds
10,9,0.645320197044335,0.7733990147783252,0.7093596059113301,10-year-olds
10,10,0.8037383177570093,0.9018691588785047,0.8504672897196262,10-year-olds
